Common name;Scientific name;Power text;PT Suomeksi
Abbott's Booby;Papasula abbotti;Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.;Nosta 3 bonuskorttia ja hylkää sitten 2. Voit hylätä bonuskortteja, joita et ole nostanut tällä vuorolla.
Acorn Woodpecker;Melanerpes formicivorus;Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.;Hanki 1 [siemen] lintujenruokintalaitteesta, jos saatavilla. Voit varastoida sen tälle linnulle.
American Avocet;Recurvirostra americana;"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [ground] nest.";"Kun toinen pelaaja suorittaa ""muninta"" -toiminnon, muni 1 [muna] toiselle linnulle, jolla on [maa]pesä."
American Bittern;Botaurus lentiginosus;Player(s) with the fewest birds in their [wetland] draw 1 [card].;Pelaajat, joilla on vähiten lintuja [kosteikolla], nostavat yhden [kortin].
American Coot;Fulica americana;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
American Crow;Corvus brachyrhynchos;Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.;Hävitä 1 [muna] mistä tahansa muista linnuistasi saadaksesi 1 [valinnainen] tarjonnasta.
American Goldfinch;Spinus tristis;Gain 3 [seed] from the supply.;Hanki 3 [siementä] tarjonnasta.
American Kestrel;Falco sparverius;Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.;Heitä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos joku on [jyrsijä], varastoi 1 [jyrsijä] tämän linnun päälle.
American Oystercatcher;Haematopus palliatus;Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.;Nosta [kortti], joka vastaa pelaajien lukumäärää +1. Aloittaen sinusta ja jatkaen myötäpäivään, jokainen pelaaja valitsee yhden näistä korteista ja asettaa sen käteensä. Säilytät ylimääräisen kortin.
American Redstart;Setophaga ruticilla;Gain 1 [die] from the birdfeeder.;Ansaitse 1 [noppa] lintujen ruokintalaitteesta.
American Robin;Turdus migratorius;Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].;Työnnä 1 [kortti] kädestäsi tämän linnun taakse. Jos teet niin, nosta 1 [kortti].
American White Pelican;Pelecanus erythrorhynchos;Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.;Hävitä 1 [kala] ja työnnä 2 [korttia] kädestä tämän linnun taakse.
American Woodcock;Scolopax minor;;-
Anhinga;Anhinga anhinga;Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.;Heitä kaikkia noppia, jotka eivät ole linnunsyöttölaitteessa. Jos ne ovat [kaloja], säilytä 1 [kala] tämän linnun päällä.
Anna's Hummingbird;Calypte anna;Each player gains 1 [die] from the birdfeeder, starting with the player of your choice.;Jokainen pelaaja saa 1 [nopan] linnunruokintalaitteesta alkaen valitsemastasi pelaajasta.
Ash-Throated Flycatcher;Myiarchus cinerascens;Lay 1 [egg] on each of your birds with a [cavity] nest.;Muni 1 [muna] jokaiselle linnullesi, jolla on [kolo] pesä.
Atlantic Puffin;Fratercula arctica;Draw 2 new bonus cards and keep 1.;Nosta 2 uutta bonuskorttia ja pidä 1.
Audouin's Gull;Ichthyaetus audouinii;Draw 2 [card] from the deck. Tuck 1 behind this bird and keep the other.;Nosta 2 [korttia] pakasta. Työnnä yksi tämän linnun taakse ja pidä toinen.
